general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000400,
angular_brake_feed_forward_k = 0.000400,
angular_vel_feed_forward_k = 0.004000,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.009000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.005000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 56.000000,
start_wall_break_mm_right = 56.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.250000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.000000,
angular_static_ff = 0.000000,
angular_coulomb_ff_inplace = 0.110000,
angular_static_ff_inplace = 0.130000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;PosX;PosY;Angle;Dist;SensL;SensFL;SensFR;SensR
0.0;0.0000;0.0000;-0.0014;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.6;270.0;270.0;183.7
0.5;0.0000;0.0000;0.0000;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.6;270.0;270.0;183.7
1.0;0.0000;0.0000;0.0027;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
1.5;0.0000;0.0000;0.0055;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
2.0;0.0000;0.0000;-0.0055;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.6;270.0;270.0;183.7
2.5;0.0000;0.0000;0.0082;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.6;270.0;270.0;183.7
3.0;0.0000;0.0000;0.0179;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.6;270.0;270.0;183.7
3.5;0.0000;0.0000;-0.0014;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
4.0;0.0000;0.0000;0.0055;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
4.5;0.0000;0.0005;0.0096;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.6;270.0;270.0;183.7
5.0;0.0000;0.0005;0.0014;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.6;270.0;270.0;183.7
5.5;0.0000;0.0005;0.0014;0.0000;-1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.6;270.0;270.0;183.7
6.0;0.0000;0.0005;0.0014;0.0000;1;1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
6.5;0.0000;0.0009;0.0055;0.0000;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
7.0;0.0000;0.0009;-0.0014;0.0000;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
7.5;0.0000;0.0009;-0.0055;0.0000;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
8.0;0.0000;0.0014;0.0027;0.0000;32;32;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.3;270.0;270.0;183.7
8.5;0.0000;0.0014;-0.0041;0.0000;32;34;-0.0049;0.0000;0.0000;-0.0109;-0.2439;191.1;270.0;270.0;183.7
