general_params = {
fan_speed = 0.000000,
angular_kp = 0.035000,
angular_ki = 0.000210,
angular_kd = 0.000000,
angular_acc_feed_forward_k = 0.000600,
angular_brake_feed_forward_k = 0.000600,
angular_vel_feed_forward_k = 0.005600,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.009000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.005000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 56.000000,
start_wall_break_mm_right = 56.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.250000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.070000,
angular_static_ff = 0.120000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;VelP;VelI;AngP;AngI;RotFF;LinFF;Batt_mV
0.0;0.0000;0.0000;0.0014;0.0000;-1;-1;-0.0049;-0.0012;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10205
0.5;0.0000;0.0000;0.0041;0.0000;-1;-1;-0.0049;-0.0012;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10205
1.0;0.0000;0.0000;-0.0027;0.0000;-1;-1;-0.0049;-0.0012;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;10205
1.5;0.0000;0.0000;-0.0014;0.0000;-1;-1;-0.0049;-0.0012;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;10205
2.0;0.0000;0.0000;0.0000;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10205
2.5;0.0000;0.0000;0.0027;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10205
3.0;0.0000;0.0000;0.0000;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10205
3.5;0.0000;0.0000;-0.0027;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;10205
4.0;0.0000;0.0000;-0.0027;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;10205
4.5;0.0000;0.0005;0.0014;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10205
5.0;0.0000;0.0005;0.0041;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10205
5.5;0.0000;0.0005;0.0000;0.0000;-1;-1;-0.0049;0.0018;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10205
6.0;0.0000;0.0005;-0.0014;0.0000;1;1;-0.0049;0.0018;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;10205
6.5;0.0000;0.0009;-0.0014;0.0000;34;34;-0.0049;0.0018;-0.0012;-0.0000;-0.0010;0.0000;0.1339;10205
7.0;0.0000;0.0009;-0.0014;0.0000;34;34;-0.0049;0.0018;-0.0012;-0.0000;-0.0010;0.0000;0.1339;10205
7.5;0.0000;0.0009;0.0041;0.0000;34;34;-0.0049;0.0018;-0.0012;-0.0010;-0.0010;0.0000;0.1339;10205
8.0;0.0000;0.0014;0.0069;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0010;-0.0010;0.0000;0.1339;10205
8.5;0.0000;0.0014;-0.0041;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0000;-0.0010;0.0000;0.1339;10205
9.0;0.0000;0.0018;-0.0027;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0000;-0.0010;0.0000;0.1417;10205
9.5;0.0005;0.0018;-0.0014;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0000;-0.0010;0.0000;0.1417;10205
