general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000350,
angular_brake_feed_forward_k = 0.000200,
angular_vel_feed_forward_k = 0.000600,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.009000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.005000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 56.000000,
start_wall_break_mm_right = 56.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.250000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.040000,
angular_static_ff = 0.100000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;VelP;VelI;AngP;AngI;RotFF;LinFF;Batt_mV
0.0;0.0000;0.0000;-0.0027;0.0000;-1;-1;-0.0049;-0.0012;-0.0012;-0.0000;-0.0000;0.0000;-0.0000;10308
0.5;0.0000;0.0000;-0.0055;0.0000;-1;-1;-0.0049;-0.0012;-0.0012;-0.0000;-0.0000;0.0000;-0.0000;10308
1.0;0.0000;0.0000;-0.0014;0.0000;-1;-1;-0.0049;-0.0012;-0.0012;-0.0000;-0.0000;0.0000;-0.0000;10308
1.5;0.0000;0.0000;0.0027;0.0000;-1;-1;-0.0049;-0.0012;-0.0012;-0.0010;-0.0000;0.0000;-0.0000;10308
2.0;0.0000;0.0000;0.0069;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10308
2.5;0.0000;0.0000;-0.0014;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;10308
3.0;0.0000;0.0000;0.0014;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10308
3.5;0.0000;0.0000;0.0027;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10308
4.0;0.0000;0.0000;0.0014;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10308
4.5;0.0000;0.0005;0.0000;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10308
5.0;0.0000;0.0005;0.0000;0.0000;-1;-1;-0.0049;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;10308
5.5;0.0000;0.0005;-0.0014;0.0000;-1;-1;-0.0049;0.0018;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;10308
6.0;0.0000;0.0005;-0.0041;0.0000;1;1;-0.0049;0.0018;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;10308
6.5;0.0000;0.0009;-0.0055;0.0000;32;32;-0.0049;0.0018;-0.0012;-0.0000;-0.0010;0.0000;0.1339;10308
7.0;0.0000;0.0009;0.0000;0.0000;34;34;-0.0049;0.0018;-0.0012;-0.0010;-0.0010;0.0000;0.1339;10308
7.5;0.0000;0.0009;0.0027;0.0000;34;34;-0.0049;0.0018;-0.0012;-0.0010;-0.0010;0.0000;0.1339;10308
8.0;0.0000;0.0014;-0.0041;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0000;-0.0010;0.0000;0.1339;10308
8.5;0.0000;0.0014;-0.0082;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0000;-0.0000;0.0000;0.1339;10308
9.0;0.0000;0.0018;-0.0110;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0000;-0.0000;0.0000;0.1417;10308
9.5;0.0005;0.0018;0.0000;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0010;-0.0000;0.0000;0.1417;10308
10.0;0.0005;0.0023;-0.0014;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0000;-0.0000;0.0000;0.1417;10308
10.5;0.0005;0.0023;-0.0014;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0000;-0.0000;0.0000;0.1417;10308
11.0;0.0009;0.0027;0.0000;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0010;-0.0000;0.0000;0.1417;10308
11.5;0.0009;0.0027;0.0000;0.0000;34;34;-0.0049;0.0032;-0.0012;-0.0010;-0.0000;0.0000;0.1417;10308
12.0;0.0014;0.0032;0.0000;0.0000;34;34;-0.0049;0.0047;-0.0012;-0.0010;-0.0000;0.0000;0.1417;10308
12.5;0.0014;0.0032;0.0096;0.0000;36;36;-0.0049;0.0047;-0.0012;-0.0010;-0.0000;0.0000;0.1417;10308
13.0;0.0014;0.0037;0.0151;0.0000;36;36;-0.0049;0.0047;-0.0012;-0.0010;-0.0010;0.0000;0.1417;10308
13.5;0.0018;0.0037;0.0165;0.0000;36;36;-0.0049;0.0047;-0.0012;-0.0010;-0.0010;0.0000;0.1417;10308
14.0;0.0018;0.0041;0.0206;0.0000;36;36;-0.0049;0.0047;0.0003;-0.0010;-0.0010;0.0000;0.1417;10308
14.5;0.0023;0.0046;0.0206;0.0000;36;36;-0.0049;0.0047;0.0003;-0.0010;-0.0010;0.0000;0.1417;10308
15.0;0.0023;0.0046;0.0220;0.0000;36;36;-0.0049;0.0062;0.0003;-0.0010;-0.0010;0.0000;0.1496;10308
15.5;0.0023;0.0050;0.0316;0.0000;38;36;-0.0049;0.0062;0.0003;-0.0020;-0.0010;0.0000;0.1496;10308
16.0;0.0027;0.0055;0.0247;0.0000;38;36;-0.0049;0.0062;0.0003;-0.0020;-0.0010;0.0000;0.1496;10308
16.5;0.0027;0.0055;0.0371;0.0000;38;36;-0.0049;0.0062;0.0003;-0.0020;-0.0010;0.0000;0.1496;10308
17.0;0.0032;0.0060;0.0371;0.0000;38;38;-0.0049;0.0062;0.0003;-0.0020;-0.0010;0.0000;0.1496;10308
17.5;0.0032;0.0064;0.0508;0.0000;38;38;-0.0049;0.0076;0.0003;-0.0029;-0.0010;0.0000;0.1496;10308
18.0;0.0037;0.0069;0.0440;0.0000;38;38;-0.0049;0.0076;0.0003;-0.0020;-0.0010;0.0000;0.1496;10308
18.5;0.0037;0.0073;0.0330;0.0000;38;38;-0.0049;0.0076;0.0003;-0.0020;-0.0010;0.0000;0.1496;10308
19.0;0.0041;0.0078;0.0206;0.0000;38;38;-0.0049;0.0076;0.0003;-0.0010;-0.0010;0.0000;0.1496;10308
19.5;0.0041;0.0078;0.0000;0.0000;38;40;-0.0049;0.0091;0.0003;-0.0010;-0.0010;0.0000;0.1496;10308
20.0;0.0046;0.0082;-0.0275;0.0000;38;40;-0.0049;0.0091;0.0003;0.0010;-0.0010;0.0000;0.1496;10308
20.5;0.0046;0.0087;-0.0481;0.0000;40;40;-0.0049;0.0091;0.0003;0.0020;-0.0010;0.0000;0.1496;10308
21.0;0.0050;0.0092;-0.0618;0.0000;40;40;-0.0049;0.0105;0.0003;0.0020;-0.0010;0.0000;0.1575;10308
21.5;0.0050;0.0096;-0.0824;0.0000;40;42;-0.0049;0.0105;0.0003;0.0029;-0.0010;0.0000;0.1575;10308
22.0;0.0055;0.0101;-0.0742;0.0000;40;42;-0.0049;0.0105;0.0003;0.0029;-0.0010;0.0000;0.1575;10308
22.5;0.0055;0.0105;-0.0742;0.0000;40;42;-0.0049;0.0120;0.0003;0.0029;-0.0010;0.0000;0.1575;10308
23.0;0.0060;0.0110;-0.0632;0.0000;40;44;-0.0049;0.0120;0.0003;0.0020;-0.0000;0.0000;0.1575;10308
23.5;0.0060;0.0114;-0.0632;0.0000;42;44;-0.0049;0.0135;0.0003;0.0020;-0.0000;0.0000;0.1575;10308
24.0;0.0069;0.0119;-0.0810;0.0000;40;42;-0.0831;0.0120;0.0003;0.0029;-0.0000;0.0000;0.1575;10308
24.5;0.0078;0.0124;-0.0797;0.0000;40;42;-0.0049;0.0105;0.0003;0.0029;-0.0000;0.0000;0.1575;10256
25.0;0.0082;0.0128;-0.0907;0.0000;40;42;-0.0049;0.0105;0.0003;0.0029;-0.0000;0.0000;0.1575;10308
25.5;0.0096;0.0137;-0.0714;0.0000;40;42;0.0831;0.0091;0.0003;0.0029;-0.0000;0.0000;0.1575;10308
26.0;0.0105;0.0142;-0.0783;0.0000;40;42;-0.0049;0.0076;0.0003;0.0029;-0.0000;0.0000;0.1575;10256
26.5;0.0119;0.0147;-0.0646;0.0000;40;40;-0.0831;0.0062;0.0003;0.0020;-0.0000;0.0000;0.1575;10256
27.0;0.0128;0.0151;-0.0632;0.0000;38;40;-0.0049;0.0047;0.0003;0.0020;-0.0000;0.0000;0.1654;10308
27.5;0.0137;0.0156;-0.0714;0.0000;38;40;-0.0049;0.0047;0.0003;0.0029;-0.0000;0.0000;0.1654;10256
28.0;0.0147;0.0165;-0.0591;0.0000;38;40;0.0831;0.0032;0.0003;0.0020;-0.0000;0.0000;0.1654;10308
28.5;0.0165;0.0169;-0.0591;0.0000;38;38;-0.0831;0.0003;0.0003;0.0020;-0.0000;0.0000;0.1654;10308
29.0;0.0174;0.0174;-0.0659;0.0000;38;38;-0.0049;-0.0012;0.0003;0.0020;-0.0000;0.0000;0.1654;10256
29.5;0.0183;0.0179;-0.0659;0.0000;38;38;-0.0049;-0.0012;0.0003;0.0020;-0.0000;0.0000;0.1654;10308
30.0;0.0188;0.0188;-0.0563;0.0000;38;38;-0.0049;-0.0012;0.0003;0.0020;-0.0000;0.0000;0.1654;10308
30.5;0.0206;0.0192;-0.0577;0.0000;38;38;-0.0049;-0.0041;0.0003;0.0020;-0.0000;0.0000;0.1654;10308
31.0;0.0220;0.0201;-0.0371;0.0000;36;38;-0.0049;-0.0056;0.0003;0.0010;-0.0000;0.0000;0.1654;10308
31.5;0.0229;0.0206;-0.0261;0.0000;38;38;-0.0049;-0.0056;0.0003;0.0010;-0.0000;0.0000;0.1654;10308
32.0;0.0234;0.0211;-0.0302;0.0000;38;38;-0.0049;-0.0056;0.0003;0.0010;-0.0000;0.0000;0.1654;10308
32.5;0.0252;0.0220;-0.0316;0.0000;38;38;-0.0049;-0.0085;0.0003;0.0010;-0.0000;0.0000;0.1732;10308
33.0;0.0261;0.0224;-0.0412;0.0000;36;38;-0.0049;-0.0100;0.0003;0.0010;-0.0000;0.0000;0.1732;10256
33.5;0.0270;0.0234;-0.0343;0.0000;36;38;-0.0049;-0.0100;0.0003;0.0010;-0.0000;0.0000;0.1732;10308
34.0;0.0284;0.0238;-0.0481;0.0000;36;38;0.0733;-0.0114;0.0003;0.0020;-0.0000;0.0000;0.1732;10308
34.5;0.0298;0.0247;-0.0426;0.0000;36;38;-0.0831;-0.0144;0.0003;0.0010;-0.0000;0.0000;0.1732;10308
35.0;0.0307;0.0252;-0.0412;0.0000;36;38;-0.0049;-0.0144;0.0003;0.0010;-0.0000;0.0000;0.1732;10308
35.5;0.0316;0.0261;-0.0302;0.0000;38;38;-0.0049;-0.0144;0.0003;0.0010;-0.0000;0.0000;0.1732;10308
36.0;0.0334;0.0266;-0.0343;0.0000;36;38;-0.0049;-0.0173;0.0003;0.0010;-0.0000;0.0000;0.1732;10308
36.5;0.0343;0.0275;-0.0288;0.0000;36;36;-0.0049;-0.0173;0.0003;0.0010;-0.0000;0.0000;0.1732;10308
37.0;0.0353;0.0284;-0.0151;0.0000;36;38;-0.0049;-0.0173;0.0003;-0.0000;-0.0000;0.0000;0.1732;10308
37.5;0.0371;0.0288;-0.0206;0.0000;36;36;-0.0049;-0.0202;0.0003;-0.0000;-0.0000;0.0000;0.1732;10308
38.0;0.0380;0.0298;-0.0165;0.0000;36;36;-0.0049;-0.0217;0.0003;-0.0000;-0.0000;0.0000;0.1811;10308
38.5;0.0389;0.0307;-0.0234;0.0000;36;38;-0.0049;-0.0217;0.0003;-0.0000;-0.0000;0.0000;0.1811;10308
39.0;0.0408;0.0316;-0.0192;0.0000;36;36;-0.0049;-0.0231;0.0003;-0.0000;-0.0000;0.0000;0.1811;10308
39.5;0.0417;0.0321;-0.0288;0.0000;36;36;-0.0049;-0.0246;0.0003;0.0010;-0.0000;0.0000;0.1811;10308
40.0;0.0421;0.0330;-0.0179;0.0000;36;38;-0.0049;-0.0246;-0.0012;-0.0000;-0.0000;0.0000;0.1811;10308
40.5;0.0426;0.0339;-0.0357;0.0000;38;38;-0.0049;-0.0231;-0.0012;0.0010;-0.0000;0.0000;0.1811;10308
41.0;0.0435;0.0348;-0.0371;0.0000;38;38;-0.0831;-0.0231;-0.0012;0.0010;-0.0000;0.0000;0.1811;10308
41.5;0.0440;0.0353;-0.0440;0.0000;40;40;-0.0049;-0.0217;-0.0012;0.0010;-0.0000;0.0000;0.1811;10256
42.0;0.0449;0.0362;-0.0385;0.0000;40;40;-0.0831;-0.0217;-0.0012;0.0010;-0.0000;0.0000;0.1811;10308
42.5;0.0458;0.0371;-0.0426;0.0000;40;40;0.0733;-0.0217;-0.0012;0.0010;-0.0000;0.0000;0.1811;10308
43.0;0.0462;0.0380;-0.0522;0.0000;40;40;-0.0049;-0.0217;-0.0012;0.0020;-0.0000;0.0000;0.1811;10256
43.5;0.0476;0.0389;-0.0453;0.0000;40;40;-0.0831;-0.0217;-0.0012;0.0010;-0.0000;0.0000;0.1890;10308
44.0;0.0485;0.0398;-0.0481;0.0000;40;40;0.0733;-0.0231;-0.0012;0.0020;-0.0000;0.0000;0.1890;10308
44.5;0.0495;0.0408;-0.0288;0.0000;40;40;-0.0049;-0.0217;-0.0012;0.0010;-0.0000;0.0000;0.1890;10308
45.0;0.0504;0.0417;-0.0316;0.0000;40;40;-0.0831;-0.0231;-0.0012;0.0010;-0.0000;0.0000;0.1890;10308
45.5;0.0517;0.0426;-0.0220;0.0000;40;40;0.0733;-0.0231;-0.0012;-0.0000;-0.0000;0.0000;0.1890;10308
46.0;0.0522;0.0435;-0.0343;0.0000;40;42;-0.0049;-0.0231;-0.0012;0.0010;-0.0000;0.0000;0.1890;10256
46.5;0.0540;0.0444;-0.0234;0.0000;40;40;-0.0049;-0.0246;-0.0012;-0.0000;-0.0000;0.0000;0.1890;10308
47.0;0.0549;0.0453;-0.0110;0.0000;40;40;-0.0049;-0.0246;-0.0012;-0.0000;-0.0000;0.0000;0.1890;10256
47.5;0.0563;0.0462;-0.0055;0.0000;40;40;-0.0831;-0.0261;-0.0012;-0.0000;-0.0000;0.0000;0.1890;10256
48.0;0.0577;0.0472;-0.0124;0.0000;40;40;0.0733;-0.0261;-0.0026;-0.0000;-0.0000;0.0000;0.1890;10256
48.5;0.0582;0.0481;-0.0234;0.0000;40;42;-0.0049;-0.0261;-0.0026;-0.0000;-0.0000;0.0000;0.1890;10256
49.0;0.0591;0.0495;-0.0398;0.0000;42;42;-0.0831;-0.0261;-0.0026;0.0010;-0.0000;0.0000;0.1969;10256
49.5;0.0604;0.0504;-0.0563;0.0000;40;44;0.0831;-0.0261;-0.0026;0.0020;-0.0000;0.0000;0.1969;10308
