Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;Battery(mV);PosX(m);PosY(m);Angle(rad);Dist
0;-0.0000;-0.0000;-0.0000;-0.0000;1;1;0;12103;0.0000;0.0000;-0.0109;-0.0244
1;-0.0000;0.0037;-0.0000;-0.0000;3;3;0;12154;0.0000;0.0000;-0.0109;-0.0244
2;-0.0000;0.0037;-0.0000;-0.0000;5;5;0;12154;0.0000;0.0000;-0.0109;-0.0244
3;-0.0000;0.0074;-0.0000;-0.0000;7;7;0;12154;0.0000;0.0000;-0.0109;-0.0244
4;-0.0000;0.0074;-0.0345;-0.0000;9;9;0;12154;0.0000;0.0000;-0.0109;-0.0244
5;-0.0000;0.0111;-0.0345;-0.0000;11;11;0;12154;0.0000;0.0000;-0.0109;-0.0244
6;-0.0000;0.0111;-0.0345;-0.0000;13;15;0;12154;0.0000;0.0000;-0.0109;-0.0244
7;-0.0000;0.0148;-0.0000;-0.0000;17;17;0;12154;0.0000;0.0000;-0.0109;-0.0244
8;-0.0000;0.0148;-0.0000;-0.0000;19;19;0;12154;0.0000;0.0000;-0.0109;-0.0244
9;-0.0000;0.0185;-0.0000;-0.0000;21;21;0;12154;0.0000;0.0000;-0.0109;-0.0244
10;-0.0000;0.0185;-0.0345;-0.0000;22;22;0;12154;0.0000;0.0000;-0.0109;-0.0244
11;-0.0000;0.0222;-0.0345;-0.0000;24;24;0;12154;0.0000;0.0000;-0.0109;-0.0244
12;-0.0000;0.0259;-0.0345;-0.0000;26;28;0;12154;0.0000;0.0000;-0.0109;-0.0244
13;-0.0000;0.0259;-0.0000;-0.0000;30;30;0;12154;0.0000;0.0000;-0.0109;-0.0244
14;-0.0000;0.0296;-0.0000;-0.0000;32;32;0;12154;0.0000;0.0000;-0.0109;-0.0244
15;-0.0000;0.0296;-0.0000;-0.0000;34;34;0;12154;0.0000;0.0000;-0.0109;-0.0244
16;-0.0000;0.0333;-0.0345;-0.0000;36;36;0;12154;0.0000;0.0000;-0.0109;-0.0244
17;-0.0000;0.0333;-0.0345;-0.0000;40;40;0;12154;0.0000;0.0000;-0.0109;-0.0244
18;-0.0000;0.0370;-0.0345;-0.0000;42;42;0;12103;0.0000;0.0000;-0.0109;-0.0244
19;-0.0000;0.0370;-0.0000;-0.0000;46;46;0;12103;0.0000;0.0000;-0.0109;-0.0244
20;-0.0000;0.0407;-0.0345;-0.0000;48;48;0;12103;0.0000;0.0000;-0.0109;-0.0244
21;-0.0000;0.0407;-0.0345;-0.0000;50;50;0;12103;0.0000;0.0000;-0.0109;-0.0244
22;-0.0000;0.0444;-0.0690;-0.0000;54;54;0;12051;0.0000;0.0000;-0.0109;-0.0244
23;0.0111;0.0444;-0.0345;-0.0000;44;44;0;12051;0.1145;0.0000;-0.0109;-0.0244
24;0.0148;0.0481;-0.0345;-0.0000;38;40;0;12051;0.1908;-0.0076;-0.0109;-0.0244
25;0.0222;0.0519;-0.0690;-0.0000;36;36;0;12103;0.2290;-0.0076;-0.0109;-0.0244
26;0.0296;0.0519;-0.0000;-0.0000;32;32;0;12103;0.2290;-0.0076;-0.0109;-0.0244
27;0.0333;0.0556;-0.0000;-0.0000;30;30;0;12103;0.2290;-0.0076;-0.0109;-0.0244
28;0.0370;0.0556;-0.0000;-0.0000;28;28;0;12103;0.2290;-0.0076;-0.0109;-0.0244
29;0.0407;0.0593;0.0345;-0.0000;26;26;0;12103;0.2290;-0.0076;-0.0109;-0.0244
