Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0.0;0.0000;0.0009;0.0055;0.0000;-1;-1;-0.0012;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000
0.5;0.0000;0.0018;0.0040;0.0000;-1;-1;-0.0012;0.0018;-0.0012;-0.0010;-0.0010;0.0000;-0.0000
1.0;0.0000;0.0027;0.0035;0.0000;-1;-1;-0.0012;0.0032;-0.0012;-0.0010;-0.0010;0.0000;-0.0000
1.5;0.0000;0.0037;-0.0015;0.0000;1;1;-0.0012;0.0047;0.0003;-0.0000;-0.0010;0.0000;-0.0000
2.0;0.0000;0.0046;-0.0030;0.0000;1;1;-0.0012;0.0062;0.0003;-0.0000;-0.0010;0.0000;-0.0000
2.5;0.0000;0.0060;0.0050;0.0000;1;1;-0.0012;0.0076;0.0003;-0.0010;-0.0010;0.0000;-0.0000
3.0;0.0000;0.0069;0.0075;0.0000;1;1;-0.0012;0.0091;0.0003;-0.0010;-0.0010;0.0000;-0.0000
3.5;0.0000;0.0078;0.0010;0.0000;1;1;-0.0012;0.0091;0.0003;-0.0010;-0.0010;0.0000;-0.0000
4.0;0.0000;0.0087;-0.0025;0.0000;1;3;-0.0012;0.0105;0.0003;-0.0000;-0.0010;0.0000;-0.0000
4.5;0.0000;0.0096;-0.0035;0.0000;3;3;-0.0012;0.0120;0.0003;-0.0000;-0.0010;0.0000;-0.0000
5.0;0.0000;0.0110;-0.0040;0.0000;3;3;-0.0012;0.0135;0.0018;-0.0000;-0.0010;0.0000;-0.0000
5.5;0.0000;0.0119;0.0015;0.0000;3;3;-0.0012;0.0149;0.0018;-0.0010;-0.0010;0.0000;-0.0000
6.0;0.0000;0.0128;0.0030;0.0000;3;3;-0.0012;0.0164;0.0018;-0.0010;-0.0010;0.0000;-0.0000
6.5;0.0000;0.0137;-0.0020;0.0000;3;3;-0.0012;0.0179;0.0018;-0.0000;-0.0010;0.0000;-0.0000
7.0;0.0000;0.0147;-0.0015;0.0000;5;5;-0.0012;0.0193;0.0032;-0.0000;-0.0010;0.0000;-0.0000
7.5;0.0000;0.0156;-0.0015;0.0000;5;5;-0.0012;0.0193;0.0032;-0.0000;-0.0010;0.0000;-0.0000
8.0;0.0000;0.0169;0.0105;0.0000;5;5;-0.0012;0.0208;0.0032;-0.0010;-0.0010;0.0000;-0.0000
8.5;0.0000;0.0179;-0.0185;0.0000;5;5;-0.0012;0.0223;0.0047;-0.0000;-0.0010;0.0000;-0.0000
9.0;0.0000;0.0188;-0.0270;0.0000;5;7;-0.0012;0.0237;0.0047;0.0010;-0.0000;0.0000;-0.0000
9.5;0.0000;0.0197;0.0045;0.0000;7;7;-0.0012;0.0252;0.0062;-0.0010;-0.0000;0.0000;-0.0000
10.0;0.0000;0.0206;0.0055;0.0000;7;7;-0.0012;0.0267;0.0062;-0.0010;-0.0000;0.0000;-0.0000
10.5;0.0000;0.0220;0.0055;0.0000;7;7;-0.0012;0.0281;0.0062;-0.0010;-0.0000;0.0000;-0.0000
11.0;0.0000;0.0229;-0.0010;0.0000;7;7;-0.0012;0.0296;0.0076;-0.0000;-0.0000;0.0000;-0.0000
11.5;0.0000;0.0238;0.0070;0.0000;9;9;-0.0012;0.0311;0.0076;-0.0010;-0.0010;0.0000;-0.0000
12.0;0.0000;0.0247;0.0095;0.0000;9;9;-0.0012;0.0311;0.0091;-0.0010;-0.0010;0.0000;-0.0000
12.5;0.0000;0.0256;-0.0030;0.0000;9;9;-0.0012;0.0325;0.0091;-0.0000;-0.0010;0.0000;-0.0000
13.0;0.0000;0.0266;-0.0020;0.0000;9;9;-0.0012;0.0340;0.0105;-0.0000;-0.0010;0.0000;-0.0000
13.5;0.0000;0.0279;0.0050;0.0000;11;9;-0.0012;0.0355;0.0120;-0.0010;-0.0010;0.0000;-0.0000
14.0;0.0000;0.0288;0.0090;0.0000;11;11;-0.0012;0.0369;0.0120;-0.0010;-0.0010;0.0000;-0.0000
14.5;0.0000;0.0298;-0.0015;0.0000;11;11;-0.0012;0.0384;0.0135;-0.0000;-0.0010;0.0000;-0.0000
15.0;0.0000;0.0307;0.0175;0.0000;11;11;-0.0012;0.0398;0.0135;-0.0010;-0.0010;0.0000;-0.0000
